title,rank,date,artist,url,region,chart,trend,streams
Ta To Gucci (Remix),59,2019-02-08,"Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone",https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C,Colombia,top200,MOVE_DOWN,15087.0
Qué Más Pues,33,2019-02-20,"Sech, Justin Quiles",https://open.spotify.com/track/5O3cRP4ZHC9vvVIHtET1f0,Costa Rica,viral50,SAME_POSITION,
"How can I love the heartbreak, you're the one I love",117,2021-10-09,AKMU,https://open.spotify.com/track/0hqj5JBnFt1BHEz2UCFwrl,South Korea,top200,MOVE_UP,1574.0
Break My Heart,135,2020-12-30,Dua Lipa,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,United Arab Emirates,top200,MOVE_DOWN,1465.0
Never Enough,31,2018-03-23,Loren Allred,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J,Indonesia,top200,MOVE_UP,31731.0
Soltera Vá,48,2020-01-17,Los Nota Lokos,https://open.spotify.com/track/0ueg5iK0wyh5EgHvtIz4qL,Uruguay,viral50,SAME_POSITION,
Bandido,19,2021-04-04,"Myke Towers, Juhn",https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb,Global,top200,MOVE_UP,2069413.0
Te Encontre,49,2020-02-25,El Vega,https://open.spotify.com/track/2kP6fOqdSQ5CYqVH5z5844,Nicaragua,viral50,NEW_ENTRY,
INDUSTRY BABY (feat. Jack Harlow),7,2021-08-21,Lil Nas X,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,France,top200,MOVE_DOWN,237567.0
Happy Now,57,2018-12-17,"Kygo, Sandro Cavazza",https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,Finland,top200,MOVE_UP,14232.0
Morirò da Re,49,2021-06-16,Måneskin,https://open.spotify.com/track/1aX0Ki80LFzzhqxqRlqbAV,Belgium,viral50,NEW_ENTRY,
"Go Loko (feat. Tyga, Jon Z)",25,2019-07-04,YG,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD,Canada,top200,SAME_POSITION,101828.0
I'm the One,4,2017-05-17,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2,Netherlands,top200,SAME_POSITION,251515.0
Dynamite,32,2021-04-22,BTS,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,Panama,viral50,MOVE_UP,
Ayy Macarena,12,2020-02-03,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,Turkey,viral50,MOVE_DOWN,
